Lady (You Bring Me Up),Commodores,Billboard Top 100 of 1981
One On One,Hall & Oates,Billboard Top 100 of 1983
We Belong,Pat Benatar,Billboard Top 100 of 1985
"Red, Red Wine",UB40,Billboard Top 100 of 1988
Nightshift,Commodores,Billboard Top 100 of 1985
Crying,Don McLean,Billboard Top 100 of 1981
We've Got Tonight,Kenny Rogers & Sheena Easton,Billboard Top 100 of 1983
Pop Music,M,Billboard Top 100 of 1980
Conga,Miami Sound Machine,Billboard Top 100 of 1986
She's Like The Wind,Patrick Swayze,Billboard Top 100 of 1988
Drive,Cars,Billboard Top 100 of 1984
True Colors,Cyndi Lauper,Billboard Top 100 of 1986
Hearts,Marty Balin,Billboard Top 100 of 1981
Kokomo,Beach Boys,Billboard Top 100 of 1988
Who's That Girl,Madonna,Billboard Top 100 of 1987
You Make My Dreams Come True,Hall & Oates,Billboard Top 100 of 1981
What Have You Done For Me...,Janet Jackson,Billboard Top 100 of 1986
Together Forever,Rick Astley,Billboard Top 100 of 1988
We Don't Talk Anymore,Cliff Richard,Billboard Top 100 of 1980
Always Something There To Remind Me,Naked Eyes,Billboard Top 100 of 1983
The Warrior,Scandal,Billboard Top 100 of 1984
Heartache Tonight,Eagles,Billboard Top 100 of 1980
Time,Alan Parsons Project,Billboard Top 100 of 1981
Manic Monday,Bangles,Billboard Top 100 of 1986
Automatic,Pointer Sisters,Billboard Top 100 of 1984
Tired Of Toein' The Line,Rocky Burnette,Billboard Top 100 of 1980
Young Turks,Rod Stewart,Billboard Top 100 of 1982
The Search Is Over,Survivor,Billboard Top 100 of 1985
Walk Of Life,Dire Straits,Billboard Top 100 of 1986
Freeze Frame,J Geils Band,Billboard Top 100 of 1982
The Loco-Motion,Kylie Minogue,Billboard Top 100 of 1988
The Girl Is Mine,Michael Jackson & Paul McCartney,Billboard Top 100 of 1983
Amanda,Boston,Billboard Top 100 of 1986
Him,Rupert Holmes,Billboard Top 100 of 1980
Against The Wind,Bob Seger,Billboard Top 100 of 1980
Two Of Hearts,Stacy Q,Billboard Top 100 of 1986
Suddenly,Billy Ocean,Billboard Top 100 of 1985
On The Radio,Donna Summer,Billboard Top 100 of 1980
More Than I Can Say,Leo Sayer,Billboard Top 100 of 1981
Luka,Suzanne Vega,Billboard Top 100 of 1987
Our House,Madness,Billboard Top 100 of 1983
Tell It To My Heart,Taylor Dayne,Billboard Top 100 of 1988
Sad Songs (Say So Much),Elton John,Billboard Top 100 of 1984
Invisible Touch,Genesis,Billboard Top 100 of 1986
Rise,Herb Alpert,Billboard Top 100 of 1980
Overkill,Men At Work,Billboard Top 100 of 1983
Too Much Time On My Hands,Styx,Billboard Top 100 of 1981
All Out Of Love,Air Supply,Billboard Top 100 of 1980
Obsession,Animotion,Billboard Top 100 of 1985
Carrie,Europe,Billboard Top 100 of 1987
I Want A New Drug,Huey Lewis & The News,Billboard Top 100 of 1984
Who's Crying Now,Journey,Billboard Top 100 of 1981
The Sweetest Taboo,Sade,Billboard Top 100 of 1986
You're Only Lonely,J D Souther,Billboard Top 100 of 1980
"De Do Do Do, De Da Da Da",Police,Billboard Top 100 of 1981
We Don't Need Another Hero,Tina Turner,Billboard Top 100 of 1985
This Little Girl,Gary 'U S' Bonds,Billboard Top 100 of 1981
La Isla Bonita,Madonna,Billboard Top 100 of 1987
Material Girl,Madonna,Billboard Top 100 of 1985
Infatuation,Rod Stewart,Billboard Top 100 of 1984
Sowing The Seeds Of Love,Tears For Fears,Billboard Top 100 of 1989
Bad,Michael Jackson,Billboard Top 100 of 1987
Almost Paradise,Mike Reno & Ann Wilson,Billboard Top 100 of 1984
Don't Let It End,Styx,Billboard Top 100 of 1983
When The Children Cry,White Lion,Billboard Top 100 of 1989
Legs,ZZ Top,Billboard Top 100 of 1984
Daydream Believer,Anne Murray,Billboard Top 100 of 1980
"Little In Love, A",Cliff Richard,Billboard Top 100 of 1981
Axel F,Harold Faltermeyer,Billboard Top 100 of 1985
Your Love,Outfield,Billboard Top 100 of 1986
Smooth Operator,Sade,Billboard Top 100 of 1985
Arthur's Theme (Best That You,Christopher Cross,Billboard Top 100 of 1981
You Might Think,Cars,Billboard Top 100 of 1984
All Through The Night,Cyndi Lauper,Billboard Top 100 of 1985
New Sensation,INXS,Billboard Top 100 of 1988
Another One Bites The Dust,Queen,Billboard Top 100 of 1981
Games People Play,Alan Parsons Project,Billboard Top 100 of 1981
Wanna Be Startin' Something,Michael Jackson,Billboard Top 100 of 1983
Cum On Feel The Noise,Quiet Riot,Billboard Top 100 of 1984
Into The Night,Benny Mardones,Billboard Top 100 of 1980
Breakdance,Irene Cara,Billboard Top 100 of 1984
I Won't Hold You Back,Toto,Billboard Top 100 of 1983
Adult Education,Hall & Oates,Billboard Top 100 of 1984
Hello Again,Neil Diamond,Billboard Top 100 of 1981
No More Lonely Nights,Paul McCartney,Billboard Top 100 of 1985
Tarzan Boy,Baltimora,Billboard Top 100 of 1986
All Those Years Ago,George Harrison,Billboard Top 100 of 1981
Welcome To The Jungle,Guns 'N Roses,Billboard Top 100 of 1989
All I Need Is A Miracle,Mike & The Mechanics,Billboard Top 100 of 1986
Dance Hall Days,Wang Chung,Billboard Top 100 of 1984
Step By Step,Eddie Rabbitt,Billboard Top 100 of 1981
Give It Up,K C & The Sunshine Band,Billboard Top 100 of 1984
Walking On Sunshine,Katrina And The Waves,Billboard Top 100 of 1985
Sweet Freedom,Michael McDonald,Billboard Top 100 of 1986
It's A Miracle,Men At Work,Billboard Top 100 of 1983
Fast Car,Tracy Chapman,Billboard Top 100 of 1988
Too Late For Goodbyes,Julian Lennon,Billboard Top 100 of 1985
Valotte,Julian Lennon,Billboard Top 100 of 1985
Sweet Baby,Stanley Clarke & George Duke,Billboard Top 100 of 1981
Holiday,Madonna,Billboard Top 100 of 1984
Bad Boys,Miami Sound Machine,Billboard Top 100 of 1986
Off The Wall,Michael Jackson,Billboard Top 100 of 1980
Point Of No Return,Expose,Billboard Top 100 of 1987
Always On My Mind,Pet Shop Boys,Billboard Top 100 of 1988
Hold On Tight,Electric Light Orchestra,Billboard Top 100 of 1981
Faithfully,Journey,Billboard Top 100 of 1983
What I Am,Edie Brickell,Billboard Top 100 of 1989
Throwing It All Away,Genesis,Billboard Top 100 of 1986
Winning,Santana,Billboard Top 100 of 1981
(She's) Sexy + 17,Stray Cats,Billboard Top 100 of 1983
Lay Your Hands On Me,Thompson Twins,Billboard Top 100 of 1985
Drivin' My Life Away,Eddie Rabbitt,Billboard Top 100 of 1980
Baby Love,Regina,Billboard Top 100 of 1986
Paradise City,Guns N' Roses,Billboard Top 100 of 1989
Take The Long Way Home,Supertramp,Billboard Top 100 of 1980
Nikita,Elton John,Billboard Top 100 of 1986
Tell It Like It Is,Heart,Billboard Top 100 of 1981
Wait For Me,Daryl Hall & John Oates,Billboard Top 100 of 1980
California Girls,David Lee Roth,Billboard Top 100 of 1985
Head Over Heels,Go-Go's,Billboard Top 100 of 1984
Fresh,Kool & the Gang,Billboard Top 100 of 1985
Human Nature,Michael Jackson,Billboard Top 100 of 1983
September Morn,Neil Diamond,Billboard Top 100 of 1980
Give Me The Night,George Benson,Billboard Top 100 of 1980
Your Wildest Dreams,Moody Blues,Billboard Top 100 of 1986
Born In The U.S.A.,Bruce Springsteen,Billboard Top 100 of 1985
Don't Get Me Wrong,Pretenders,Billboard Top 100 of 1987
Dancing In The Sheets,Shalamar,Billboard Top 100 of 1984
For Your Eyes Only,Sheena Easton,Billboard Top 100 of 1981
True,Spandau Ballet,Billboard Top 100 of 1983
You Decorated My Life,Kenny Rogers,Billboard Top 100 of 1980
Smooth Criminal,Michael Jackson,Billboard Top 100 of 1989
Undercover Of The Night,Rolling Stones,Billboard Top 100 of 1984
Whip It,Devo,Billboard Top 100 of 1981
Never Tear Us Apart,INXS,Billboard Top 100 of 1988
Major Tom (Coming Home),Peter Shilling,Billboard Top 100 of 1984
King For A Day,Thompson Twins,Billboard Top 100 of 1986
Breaking Us in Two,Joe Jackson,Billboard Top 100 of 1983
I'll Be Over You,Toto,Billboard Top 100 of 1986
